"id","profesion","actividad","est_civil","sexo_desc","tipo_nacionalidad","edad","estrato","ind_defuncion","ind_interd","n_direccion","comuna","ind_region_rm","avaluo_bbrr","cant_bbrr","avaluo_auto","cant_autos","n_actividad","n_rubros","clean2","tot_docs","tot_mont","ind_morosidad1","ind_morosidad2","ind_consultas_id","status_salud_publica","tramo_salud_publico","cant_personas_fam","cant_vivos_fam","cant_hijos_fam","longitud","latitud","periodo"
"91"," "," ","SOLTERO","F","CHILENO",26,"E","V"," ",2,"8",1,"0",0,0,0,0,0,0,1,11.2700004577637,0,1,1,"S","D",3,3,0,"-70.7327048.93E-4","-33.4092758.93E-4",2017
"92"," "," ","SOLTERO","M","CHILENO",25,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",6,6,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"93"," "," ","SOLTERO","M","CHILENO",25,"E","V"," ",3,"1",1,"0",0,2756189,1,1,1,1,0,0,0,0,1,"S","D",3,3,1,"-71.2295688.93E-4","-33.7408918.93E-4",2017
"94"," "," ","CASADO","F","CHILENO",25,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,747500,1,2,1,1,0,0,0,0,0,"S","D",2,2,0,"-71.2333688.93E-4","-33.6804628.93E-4",2017
"95"," "," ","SOLTERO","F","CHILENO",25,"D","V"," ",0,"0",0,"0",0,0,0,0,0,1,0,0,0,0,1,"S","D",6,6,0," "," ",2017
"96"," "," ","SOLTERO","M","CHILENO",25,"C3","V"," ",1,"1",1,"0",0,2566666,0,0,0,0,0,0,0,0,0,"S","D",4,4,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"97"," "," ","SOLTERO","F","CHILENO",25,"C3","V"," ",1,"1",1,"0",0,0,0,0,0,0,0,0,0,0,1,"S","D",3,3,1,"-71.1865088.93E-4","-33.6781468.93E-4",2017
"98"," "," ","SOLTERO","F","CHILENO",25,"SIN CLASIFICACION","V"," ",1,"4",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",4,4,0,"-71.2118458.93E-4","-33.4961098.93E-4",2017
"99"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"1",1,"0",0,4528333,0,0,0,1,0,0,0,0,0,"S","D",3,3,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"100"," "," ","SOLTERO","M","CHILENO",25,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",3,3,1,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"101"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,1,"S","D",3,3,1,"-71.2219248.93E-4","-33.6805158.93E-4",2017
"102"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,1,0,0,1,0,0,0,0,1,"S","D",1,1,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"103"," "," ","SOLTERO","M","CHILENO",25,"D","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",4,3,0,"-71.2108548.93E-4","-33.6875888.93E-4",2017
"104"," "," ","SOLTERO","F","CHILENO",26,"E","V"," ",0,"0",0,"0",0,0,0,0,0,0,0,0,0,0,1,"S","D",3,3,1," "," ",2017
"105"," "," ","SOLTERO","M","CHILENO",25,"D","V"," ",2,"1",1,"0",0,0,0,0,0,0,1,7.71000003814697,0,1,1,"S","D",6,6,0,"-71.2298138.93E-4","-33.6861238.93E-4",2017
"106"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,1,1,0,25,60.189998626709,1,0,0,"S","D",4,4,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"107"," "," ","SOLTERO","M","CHILENO",25,"SIN CLASIFICACION","V"," ",1,"3",0,"0",0,0,0,0,0,0,0,0,0,0,1,"S","D",4,3,0,"-71.7288368.93E-4","-34.1047178.93E-4",2017
"108"," "," ","CASADO","F","CHILENO",25,"E","V"," ",2,"1",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",3,3,1,"-71.1752098.93E-4","-33.6746228.93E-4",2017
"109"," "," ","CASADO","F","CHILENO",25,"C3","V"," ",1,"1",1,"0",0,0,0,0,0,0,14,20.7199993133545,1,0,1,"S","D",3,3,1,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"110"," "," ","SOLTERO","M","CHILENO",25,"E","V"," ",0,"0",0,"0",0,3821818,0,0,0,1,0,0,0,0,0,"S","D",5,5,0," "," ",2017
"111"," "," ","SOLTERO","M","CHILENO",25,"E","V"," ",1,"1",1,"0",0,2296666,1,0,0,1,0,0,0,0,1,"S","D",4,3,0,"-71.2363438.93E-4","-33.6837698.93E-4",2017
"112"," "," ","SOLTERO","M","CHILENO",25,"ABC1","V"," ",1,"1",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",5,5,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"113"," "," ","SOLTERO","F","CHILENO",25,"C3","V"," ",2,"1",1,"0",0,2757500,1,1,1,0,0,0,0,0,1,"S","D",4,4,0,"-71.2257548.93E-4","-33.6860088.93E-4",2017
"114"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,0,1,1,0,1,2.45000004768372,1,0,1,"S","D",3,3,1,"-71.2262278.93E-4","-33.6896258.93E-4",2017
"115"," "," ","SOLTERO","F","CHILENO",25,"E","V"," ",1,"1",1,"0",0,4170000,0,0,0,1,0,0,0,0,1,"S","D",7,7,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"116"," "," ","SOLTERO","F","CHILENO",26,"E","V"," ",1,"4",1,"0",0,0,0,0,0,1,0,0,0,0,1,"S","D",4,4,0,"-71.2118458.93E-4","-33.4961098.93E-4",2017
"117"," "," ","CASADO","M","CHILENO",25,"ABC1","V"," ",1,"1",1,"0",0,3611700,2,0,0,0,0,0,0,0,0,"S","D",3,3,1,"-71.1864328.93E-4","-33.6778568.93E-4",2017
"118"," "," ","SOLTERO","M","CHILENO",25,"D","V"," ",1,"1",1,"0",0,526666,1,2,1,1,0,0,0,0,0,"S","D",5,5,0,"-71.1978538.93E-4","-33.6838918.93E-4",2017
"119"," "," ","SOLTERO","M","CHILENO",25,"C3","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,1,"S","D",3,3,0,"-71.2190868.93E-4","-33.6800168.93E-4",2017
"120"," "," ","SOLTERO","M","CHILENO",25,"E","V"," ",2,"1",1,"0",0,14826285,1,0,0,0,4,8.88000011444092,1,0,0,"S","D",5,5,0,"-71.22678.93E-4","-33.6860478.93E-4",2017
"121"," "," ","CASADO","F","CHILENO",25,"E","V"," ",2,"1",1,"0",0,0,0,0,0,0,1,24.4200000762939,1,0,1,"S","D",2,2,0,"-71.225678.93E-4","-33.6805618.93E-4",2017
"122"," "," ","SOLTERO","F","CHILENO",25,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",4,4,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"123"," "," ","SOLTERO","F","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",1,1,0,"-71.2262278.93E-4","-33.680878.93E-4",2017
"124"," "," ","SOLTERO","M","CHILENO",25,"E","V"," ",0,"0",0,"0",0,0,1,0,0,0,1,4.44000005722046,1,0,0,"S","D",4,4,0," "," ",2017
